timestamp,x,y,z
1747138468100,-2.2936451,9.665691,-0.40462008
1747138468102,-2.207454,9.617807,-0.4141969
1747138468116,-2.0949266,9.627384,-0.38307226
1747138468121,-2.1404164,9.636961,-0.320823
1747138468136,-2.231396,9.629779,-0.2896984
1747138468149,-2.1859062,9.648932,-0.24181437
1747138468152,-2.1787236,9.656115,-0.23463176
1747138468166,-2.1811178,9.653721,-0.31124622
1747138468184,-2.1452048,9.665691,-0.3184288
1747138468184,-2.030283,9.648932,-0.33279404
1747138468200,-1.8962077,9.641749,-0.35913026
1747138468202,-1.8243817,9.742306,-0.33758244
1747138468216,-1.946486,9.885958,-0.2753332
1747138468221,-2.1045034,9.941025,-0.30406362
1747138468234,-2.1787236,9.974544,-0.22984336
1747138468250,-2.111686,10.003274,-0.25378537
1747138468252,-2.0159178,9.945813,-0.39743748
1747138468267,-1.9680338,10.039187,-0.45010993
1747138468271,-1.9129672,10.137349,-0.6967127
1747138468283,-1.9847932,10.266636,-0.8810662
1747138468301,-2.0494366,10.45099,-0.8690952
1747138468301,-2.0470424,10.721535,-0.9696517
1747138468316,-2.0901382,10.83885,-0.8331822
1747138468321,-2.1021092,10.795754,-0.6919243
1747138468334,-1.9847932,10.630555,-0.79008657
1747138468349,-1.9297266,10.407894,-0.7422025
1747138468352,-1.9440918,10.178051,-0.60812724
1747138468369,-2.0159178,9.952995,-0.3878607
1747138468372,-2.2218192,9.620202,-0.2633622
1747138468384,-2.255338,9.165303,-0.25139117
1747138468401,-1.7956513,9.562741,0.272939
1747138468402,-1.5586253,9.80695,0.39743748
1747138468417,-1.5993267,9.945813,0.4405331
1747138468422,-1.6687586,10.017639,0.15562311
1747138468435,-1.6304513,9.98412,-0.15562311
1747138468452,-1.4532804,9.718364,-0.41180268
1747138468453,-1.340753,9.481338,-0.7302315
1747138468467,-1.3623008,9.328109,-0.6464345
1747138468472,-1.4915876,9.107842,-0.21308395
1747138468484,-1.5682021,8.866028,0.22026655
1747138468500,-1.5634137,8.564359,0.6655881
1747138468502,-1.484405,8.193257,0.9792285
1747138468518,-1.3694834,7.826945,1.2234371
1747138468534,-1.3383588,7.621043,1.4269443
1747138468534,-1.4748282,7.484574,1.5801731
1747138468551,-1.6639702,7.3576813,1.6496049
1747138468551,-1.7621324,7.4295073,1.6950948
1747138468567,-1.7621324,7.726388,1.8219875
1747138468573,-1.697489,8.289025,1.9608512
1747138468585,-1.6807296,9.024046,1.946486
1747138468601,-1.7166426,9.725547,1.6376339
1747138468602,-1.8866309,10.170868,1.1947067
1747138468618,-2.0278888,10.405499,0.641646
1747138468622,-2.1092918,10.455778,0.009576807
1747138468634,-2.171541,10.357615,-0.59855044
1747138468651,-2.1978772,10.137349,-0.62967503
1747138468652,-2.1571758,9.972149,-0.12928689
1747138468667,-2.1380222,9.759066,0.49799395
1747138468672,-2.0805612,9.488521,1.0486604
1747138468685,-1.9416976,9.296985,1.4532804
1747138468701,-1.8004397,9.158121,1.6160861
1747138468702,-1.6927006,9.1389675,1.5514427
1747138468720,-1.5969325,9.275436,1.3144168
1747138468721,-1.6424223,9.423877,1.0127473
1747138468734,-1.769315,9.534011,0.5746084
1747138468755,-1.8483237,9.565135,0.16280572
1747138468756,-1.8243817,9.593865,-0.15801731
1747138468767,-1.7812861,9.684845,-0.29209262
1747138468772,-1.7980455,9.754277,-0.107739076
1747138468784,-1.7860745,9.742306,0.23942018
1747138468801,-1.7381904,9.684845,0.49799395
1747138468802,-1.6328455,9.723152,0.6727707
1747138468817,-1.496376,9.775825,0.7278373
1747138468821,-1.3790601,9.893141,0.6631939
1747138468835,-1.4030021,10.04637,0.4237737
1747138468851,-1.4317327,10.144532,0.1364695
1747138468852,-1.4700398,10.175656,-0.12210429
1747138468868,-1.4341269,10.175656,-0.40940848
1747138468873,-1.4628572,10.079888,-0.5602432
1747138468884,-1.4748282,9.974544,-0.5434838
1747138468901,-1.5179238,9.921871,-0.35913026
1747138468902,-1.5466543,9.816526,-0.107739076
1747138468917,-1.5251064,9.656115,0.08619126
1747138468922,-1.4652514,9.593865,0.25139117
1747138468935,-1.4389153,9.557953,0.36391866
1747138468950,-1.4077905,9.493309,0.320823
1747138468951,-1.4580688,9.486126,0.24181437
1747138468967,-1.5346833,9.5531645,0.15083471
1747138468972,-1.6376339,9.589077,0.007182605
1747138468984,-1.7022774,9.59626,-0.088585466
1747138469000,-1.7118542,9.644144,-0.18674773
1747138469002,-1.6089035,9.651326,-0.25378537
1747138469018,-1.5729905,9.742306,-0.1604115
1747138469021,-1.7118542,9.826103,-0.07182605
1747138469034,-1.9153614,9.8955345,0.02633622
1747138469051,-1.982399,9.957784,0.05267244
1747138469053,-1.970428,9.885958,-0.038307227
1747138469068,-1.8962077,9.783008,-0.11731588
1747138469072,-1.8674773,9.689633,-0.20350714
1747138469085,-1.8818425,9.723152,-0.21308395
1747138469101,-1.9129672,9.854834,-0.17477672
1747138469102,-2.0159178,9.890746,-0.110133275
1747138469118,-2.1547816,9.809343,-0.055066638
1747138469121,-2.2242134,9.672874,-0.016759412
1747138469136,-2.1811178,9.493309,0.007182605
